E, l0, l1, l2, l3, l4, l5, l6
0.117458, 0.913837, -1.027577, -0.223669, 0.144491, -3.005726, 2.293726, -3.056773
0.118644, 0.898468, -1.041504, -0.234301, 0.139354, -3.006571, 2.390010, -3.054740
0.119830, 0.883212, -1.055342, -0.244915, 0.134145, -3.007459, 2.468665, -3.052655
0.121017, 0.868064, 2.072503, -0.255508, 0.128864, 0.133203, 2.533364, -3.050518
0.122203, 0.853022, 2.058843, -0.266076, 0.123511, 0.132233, 2.587083, -3.048333
0.123390, 0.838083, 2.045270, -0.276614, 0.118087, 0.131222, 2.632136, -3.046102
0.124576, 0.823242, 2.031782, -0.287119, 0.112596, 0.130169, 2.670300, -3.043828
0.125763, 0.808495, 2.018377, -0.297589, 0.107039, 0.129073, 2.702937, -3.041517
0.126949, 0.793837, 2.005052, -0.308021, 0.101420, 0.127932, 2.731094, -3.039170
0.128136, 0.779265, 1.991802, -0.318414, 0.095744, 0.126741, 2.755586, -3.036791
0.129322, 0.764773, 1.978625, 2.812826, 0.090016, 0.125499, 2.777049, -3.034382
0.130508, 0.750358, 1.965516, 2.802515, 0.084240, 0.124201, 2.795989, -3.031947
0.131695, 0.736017, 1.952472, 2.792243, 0.078421, 0.122845, 2.812809, -3.029486
0.132881, 0.721745, 1.939489, 2.782009, 0.072566, 0.121427, 2.827834, -3.026999
0.134068, 0.707539, 1.926563, 2.771813, 0.066678, 0.119944, 2.841330, -3.024487
0.135254, 0.693399, 1.913690, 2.761651, 0.060764, 0.118396, 2.853513, -3.021947
0.136441, 0.679322, 1.900868, 2.751522, 0.054826, 0.116779, 2.864563, -3.019378
0.137627, 0.665307, 1.888095, 2.741421, 0.048870, 0.115095, 2.874629, -3.016775
0.138813, 0.651353, 1.875368, 2.731347, 0.042899, 0.113343, 2.883835, -3.014136
0.140000, 0.637460, 1.862686, 2.721295, -3.104679, 0.111524, -0.249308, -3.011455
0.141186, 0.623630, 1.850048, 2.711264, -3.110675, 0.109640, -0.241526, -3.008728
0.142373, 0.609862, 1.837454, 2.701251, -3.116681, 0.107694, -0.234339, -3.005950
0.143559, 0.596159, 1.824904, 2.691252, -3.122697, 0.105689, -0.227685, -3.003115
0.144746, 0.582522, 1.812399, 2.681267, -3.128724, 0.103628, -0.221511, -3.000217
0.145932, 0.568952, 1.799940, 2.671293, -3.134762, 0.101516, -0.215773, -2.997253
0.147119, 0.555451, 1.787529, 2.661330, -3.140812, 0.099358, -0.210432, -2.994217
0.148305, 0.542022, 1.775167, 2.651377, 3.136308, 0.097156, -0.205457, -2.991105
0.149491, 0.528666, 1.762857, 2.641434, 3.130227, 0.094916, -0.200818, -2.987914
0.150678, 0.515384, 1.750602, 2.631503, 3.124126, 0.092642, -0.196493, 0.156950
0.151864, 0.502178, 1.738402, 2.621584, 3.118005, 0.090337, -0.192459, 0.160306
0.153051, 0.489048, 1.726260, 2.611679, 3.111860, 0.088005, -0.188698, 0.163746
0.154237, 0.475996, 1.714178, 2.601789, 3.105689, 0.085648, -0.185192, 0.167272
0.155424, -2.678571, 1.702158, 2.591918, 3.099491, -3.058325, -0.181925, 0.170882
0.156610, -2.691468, 1.690200, 2.582068, 3.093265, -3.060726, -0.178883, 0.174577
0.157797, -2.704290, 1.678307, 2.572242, 3.087009, -3.063148, -0.176052, 0.178354
0.158983, -2.717036, -1.475115, 2.562442, 3.080724, -3.065591, -0.173419, 0.182214
0.160169, -2.729708, -1.486880, 2.552671, 3.074409, -3.068056, -0.170970, 0.186153
0.161356, -2.742309, -1.498580, 2.542932, 3.068066, -3.070543, -0.168694, 0.190171
0.162542, -2.754841, -1.510218, 2.533227, 3.061695, -3.073054, -0.166579, 0.194267
0.163729, -2.767306, -1.521793, 2.523558, 3.055298, -3.075592, -0.164612, 0.198439
0.164915, -2.779708, -1.533308, 2.513927, 3.048878, -3.078159, -0.162782, 0.202686
0.166102, -2.792049, -1.544765, -0.637257, 3.042437, -3.080758, -0.161080, 0.207010
0.167288, -2.804333, -1.556166, -0.646808, 3.035978, -3.083391, -0.159493, 0.211411
0.168474, -2.816563, -1.567514, -0.656320, 3.029505, -3.086060, -0.158014, 0.215891
0.169661, -2.828741, -1.578812, -0.665790, 3.023021, -3.088768, -0.156632, 0.220451
0.170847, -2.840871, -1.590062, -0.675221, 3.016529, -3.091518, -0.155339, 0.225097
0.172034, -2.852955, -1.601268, -0.684613, 3.010033, -3.094311, -0.154129, 0.229831
0.173220, -2.864996, -1.612433, -0.693968, 3.003535, -3.097148, -0.152993, 0.234660
0.174407, -2.876997, -1.623558, -0.703287, 2.997040, -3.100030, 2.989665, 0.239588
0.175593, -2.888958, -1.634648, -0.712573, 2.990549, -3.102957, 2.990667, 0.244622
0.176780, -2.900881, -1.645704, -0.721828, 2.984065, -3.105930, 2.991607, 0.249770
0.177966, -2.912768, -1.656728, -0.731055, -0.164003, -3.108946, 2.992490, 0.255038
0.179152, -2.924618, -1.667723, -0.740255, -0.170468, -3.112006, 2.993318, 0.260435
0.180339, -2.936432, -1.678689, -0.749433, -0.176921, -3.115106, 2.994091, 0.265969
0.181525, -2.948210, -1.689628, -0.758589, -0.183363, -3.118245, 2.994811, 0.271647
0.182712, -2.959951, -1.700539, -0.767728, -0.189793, -3.121420, 2.995477, 0.277477
0.183898, -2.971655, -1.711424, -0.776851, -0.196211, -3.124627, 2.996090, 0.283467
0.185085, -2.983319, -1.722282, -0.785960, -0.202620, -3.127864, 2.996647, 0.289625
0.186271, -2.994943, -1.733112, -0.795057, -0.209019, -3.131127, 2.997149, -2.845635
0.187458, -3.006525, -1.743913, -0.804143, -0.215411, -3.134413, 2.997594, -2.839122
0.188644, -3.018063, -1.754685, -0.813219, -0.221798, -3.137719, 2.997980, -2.832422
0.189830, -3.029556, -1.765425, -0.822286, -0.228181, -3.141041, 2.998307, -2.825529
0.191017, -3.041000, -1.776131, -0.831344, -0.234564, 3.138810, 2.998573, -2.818439
0.192203, -3.052396, -1.786803, -0.840393, -0.240948, 3.135464, 2.998777, -2.811147
0.193390, -3.063741, -1.797438, -0.849432, -0.247335, -0.009482, 2.998919, -2.803649
0.194576, -3.075033, -1.808033, -0.858460, -0.253729, -0.012843, 2.999000, -2.795940
0.195763, -3.086271, -1.818588, -0.867475, -0.260131, -0.016209, 2.999019, -2.788018
0.196949, 0.044138, -1.829099, -0.876477, -0.266543, -0.019578, 2.998978, -2.779878
0.198135, 0.033010, -1.839566, -0.885463, -0.272966, -0.022952, 2.998878, -2.771516
0.199322, 0.021938, -1.849988, -0.894431, -0.279402, -0.026330, 2.998721, -2.762929
0.200508, 0.010922, -1.860361, -0.903379, -0.285851, -0.029712, 2.998509, -2.754112
0.201695, -0.000039, 1.270906, -0.912304, -0.292314, -0.033100, 2.998245, -2.745060
0.202881, -0.010944, 1.260629, -0.921206, -0.298791, -0.036495, 2.997932, -2.735768
0.204068, -0.021795, 1.250402, -0.930080, -0.305281, -0.039898, 2.997575, -2.726227
0.205254, -0.032594, 1.240224, -0.938925, -0.311784, -0.043313, 2.997175, -2.716432
0.206441, -0.043341, 1.230094, -0.947740, -0.318298, -0.046740, 2.996737, -2.706374
0.207627, -0.054039, 1.220013, -0.956522, -0.324822, -0.050182, 2.996266, -2.696042
0.208813, -0.064689, 1.209979, 2.176323, -0.331354, -0.053642, 2.995763, -2.685427
0.210000, -0.075294, 1.199990, 2.167610, -0.337891, -0.057123, 2.995234, -2.674516
0.211186, -0.085857, 1.190045, 2.158933, -0.344432, -0.060625, 2.994681, -2.663297
0.212373, -0.096380, 1.180142, 2.150293, -0.350974, -0.064152, 2.994108, -2.651755
0.213559, -0.106865, 1.170279, 2.141689, -0.357514, -0.067705, -0.148076, -2.639876
0.214746, -0.117315, 1.160453, 2.133121, -0.364050, -0.071286, -0.148683, -2.627645
0.215932, -0.127732, 1.150662, 2.124588, -0.370578, -0.074895, -0.149304, -2.615044
0.217119, -0.138120, 1.140904, 2.116091, -0.377097, -0.078535, -0.149937, -2.602057
0.218305, -0.148479, 1.131176, 2.107626, -0.383605, -0.082204, -0.150582, -2.588667
0.219491, -0.158812, 1.121475, 2.099193, -0.390098, -0.085904, -0.151238, -2.574856
0.220678, -0.169120, 1.111800, 2.090790, 2.745017, -0.089633, -0.151906, -2.560608
0.221864, -0.179406, 1.102148, 2.082415, 2.738556, -0.093391, -0.152586, -2.545905
0.223051, -0.189670, 1.092518, 2.074066, 2.732115, -0.097176, -0.153280, 0.610861
0.224237, -0.199913, 1.082906, 2.065739, 2.725693, -0.100987, -0.153988, 0.626520
0.225424, -0.210136, 1.073313, 2.057434, 2.719291, -0.104821, -0.154713, 0.642681
0.226610, -0.220338, 1.063736, 2.049147, 2.712909, -0.108677, -0.155457, 0.659356
0.227796, -0.230520, 1.054174, 2.040876, 2.706546, -0.112552, -0.156222, 0.676557
0.228983, -0.240682, 1.044628, 2.032619, 2.700204, -0.116443, -0.157010, 0.694296
0.230169, -0.250821, 1.035097, 2.024374, 2.693879, -0.120348, -0.157825, 0.712580
0.231356, -0.260939, 1.025581, 2.016139, 2.687572, -0.124263, -0.158667, 0.731418
0.232542, -0.271032, 1.016080, 2.007912, 2.681280, -0.128186, -0.159540, 0.750814
0.233729, -0.281100, 1.006595, 1.999693, 2.675001, -0.132114, -0.160446, 0.770773
0.234915, -0.291142, 0.997127, 1.991479, 2.668734, -0.136045, -0.161386, 0.791295
0.236102, -0.301155, 0.987678, 1.983270, 2.662476, -0.139976, -0.162362, 0.812381
0.237288, -0.311137, 0.978248, 1.975066, 2.656226, 2.997688, -0.163375, 0.834029
0.238474, -0.321088, 0.968839, 1.966866, 2.649980, 2.993763, -0.164426, 0.856234
0.239661, -0.331004, 0.959453, 1.958671, 2.643737, 2.989843, -0.165516, 0.878990
0.240847, -0.340884, 0.950093, 1.950481, 2.637494, 2.985930, -0.166644, 0.902290
0.242034, -0.350726, 0.940759, 1.942298, 2.631250, 2.982023, -0.167809, 0.926123
0.243220, -0.360529, 0.931455, 1.934122, 2.625002, 2.978125, -0.169011, 0.950479
0.244407, 2.771301, 0.922181, 1.925955, 2.618748, 2.974233, -0.170248, 0.975343
0.245593, 2.761580, 0.912940, 1.917798, 2.612488, 2.970348, -0.171520, 1.000700
0.246780, 2.751902, 0.903733, 1.909653, 2.606219, 2.966470, -0.172823, 1.026532
0.247966, 2.742268, -2.247030, 1.901522, 2.599942, 2.962596, -0.174155, 1.052819
0.249152, 2.732678, -2.256164, 1.893408, 2.593656, 2.958726, -0.175513, 1.079538
0.250339, 2.723131, -2.265259, 1.885312, 2.587360, 2.954858, -0.176896, 1.106665
0.251525, 2.713629, -2.274314, 1.877237, 2.581055, 2.950989, -0.178300, 1.134173
0.252712, 2.704170, -2.283330, 1.869184, 2.574741, 2.947117, -0.179721, 1.162030
0.253898, 2.694754, -2.292305, 1.861155, 2.568419, 2.943241, -0.181158, 1.190204
0.255085, 2.685380, -2.301240, 1.853153, 2.562091, 2.939358, -0.182607, 1.218659
0.256271, 2.676046, -2.310135, -1.296413, 2.555757, 2.935465, -0.184066, 1.247354
0.257457, 2.666750, -2.318991, -1.304357, 2.549420, 2.931561, -0.185531, -1.865344
