Veff, y
2413502378616.270020, 0.000000000000
2227346688197.041504, 0.000000000000
2056645965966.170166, 0.000000000000
1900027233181.510742, 0.000000000000
1756247366429.729980, 0.000000000000
1624180079781.612793, 0.000000000000
1502804284852.422607, 0.000000000000
1391193675301.400146, 0.000000000000
1288507400234.812744, 0.000000000000
1193981706715.889893, 0.000000000000
1106922445411.749023, 0.000000000000
1026698345564.411011, 0.000000000000
952734976171.027222, 0.000000000000
884509319679.703979, 0.000000000000
821544892811.447998, 0.000000000000
763407356443.449585, 0.000000000000
709700562955.300415, 0.000000000000
660062995152.305176, 0.000000000000
614164555930.906250, 0.000000000000
571703672320.191162, 0.000000000000
532404681490.532654, 0.000000000000
496015469826.906555, 0.000000000000
462305339273.768433, 0.000000000000
431063077917.666443, 0.000000000000
