E, l0, l1, l2, l3, l4, l5, l6
0.115085, -2.246005, 2.048866, 2.764813, 3.045508, -0.314986, 0.106292, 0.036352
0.116271, -2.259573, 2.036921, 2.756251, 3.041287, -0.311433, 0.109073, 0.037205
0.117458, -2.273050, 2.025046, 2.747698, 3.037024, -0.308215, 0.111904, 0.038076
0.118644, -2.286437, -1.128352, 2.739157, 3.032718, -0.305299, 0.114789, 0.038960
0.119830, -2.299737, -1.140089, 2.730629, 3.028370, -0.302659, 0.117733, 0.039856
0.121017, -2.312954, -1.151760, 2.722118, 3.023981, -0.300269, 0.120740, 0.040760
0.122203, -2.326092, -1.163366, 2.713626, 3.019551, 2.843484, 0.123814, 0.041672
0.123390, -2.339152, -1.174909, 2.705155, 3.015082, 2.845431, 0.126960, 0.042587
0.124576, -2.352138, -1.186393, 2.696706, 3.010575, 2.847183, 0.130183, 0.043504
0.125763, -2.365054, -1.197818, 2.688280, 3.006034, 2.848751, 0.133488, 0.044422
0.126949, -2.377902, -1.209188, -0.461714, 3.001461, 2.850147, 0.136879, 0.045339
0.128136, -2.390684, -1.220506, -0.470092, 2.996858, 2.851380, 0.140360, 0.046254
0.129322, -2.403402, -1.231773, -0.478446, 2.992228, 2.852460, 0.143935, 0.047167
0.130508, -2.416060, -1.242993, -0.486776, 2.987576, 2.853394, 0.147607, 0.048078
0.131695, -2.428658, -1.254168, -0.495084, 2.982903, 2.854188, 0.151379, 0.048987
0.132881, -2.441197, -1.265299, -0.503371, 2.978212, 2.854848, -2.986339, 0.049896
0.134068, -2.453679, -1.276389, -0.511638, 2.973507, 2.855379, -2.982360, 0.050806
0.135254, -2.466105, -1.287439, -0.519887, 2.968791, 2.855786, -2.978276, 0.051719
0.136441, -2.478474, -1.298449, -0.528120, 2.964064, 2.856075, -2.974084, 0.052637
0.137627, -2.490786, -1.309422, -0.536339, 2.959330, 2.856249, -2.969785, 0.053562
0.138813, -2.503042, -1.320357, -0.544544, 2.954590, 2.856313, -2.965377, 0.054496
0.140000, -2.515240, -1.331255, -0.552739, 2.949845, 2.856273, -2.960861, 0.055442
0.141186, -2.527380, -1.342115, -0.560924, -0.196496, 2.856133, -2.956236, 0.056402
0.142373, -2.539462, -1.352938, -0.569101, -0.201249, 2.855897, -2.951501, 0.057379
0.143559, -2.551484, -1.363722, -0.577270, -0.206005, 2.855571, -2.946655, 0.058374
0.144746, -2.563446, -1.374467, -0.585434, -0.210765, 2.855160, -2.941697, 0.059390
0.145932, -2.575346, -1.385172, -0.593592, -0.215530, 2.854669, -2.936627, 0.060427
0.147119, -2.587184, -1.395835, -0.601744, -0.220300, 2.854103, -2.931442, 0.061488
0.148305, -2.598959, -1.406455, -0.609891, -0.225077, 2.853467, -2.926139, 0.062572
0.149491, -2.610670, -1.417032, -0.618032, -0.229862, 2.852767, -2.920716, -3.077912
0.150678, -2.622317, -1.427563, -0.626167, -0.234657, 2.852006, -2.915169, -3.076779
0.151864, -2.633899, -1.438047, -0.634295, -0.239464, 2.851191, -2.909493, -3.075622
0.153051, -2.645416, -1.448484, -0.642414, -0.244282, 2.850324, -2.903685, -3.074442
0.154237, -2.656869, -1.458873, -0.650523, -0.249115, 2.849410, -2.897737, -3.073240
0.155424, 0.473335, -1.469212, -0.658621, -0.253964, 2.848453, -2.891644, -3.072018
0.156610, 0.462010, -1.479501, -0.666706, -0.258829, 2.847456, -2.885400, -3.070776
0.157797, 0.450747, -1.489740, -0.674776, -0.263711, 2.846422, -2.878997, -3.069517
0.158983, 0.439546, -1.499928, -0.682830, -0.268612, 2.845354, -2.872427, -3.068242
0.160169, 0.428406, 1.631527, -0.690865, -0.273532, -0.297341, -2.865683, -3.066955
0.161356, 0.417324, 1.621439, -0.698880, -0.278470, -0.298474, -2.858756, -3.065655
0.162542, 0.406299, 1.611401, -0.706874, -0.283427, -0.299637, -2.851638, -3.064346
0.163729, 0.395330, 1.601411, -0.714844, -0.288402, -0.300829, -2.844320, -3.063029
0.164915, 0.384414, 1.591470, -0.722791, -0.293395, -0.302051, -2.836795, -3.061705
0.166102, 0.373550, 1.581575, -0.730711, -0.298404, -0.303302, -2.829053, -3.060377
0.167288, 0.362735, 1.571724, -0.738606, -0.303429, -0.304583, -2.821086, -3.059045
0.168474, 0.351967, 1.561918, -0.746473, -0.308467, -0.305894, -2.812888, -3.057709
0.169661, 0.341245, 1.552153, 2.387280, -0.313517, -0.307236, 0.337144, -3.056371
0.170847, 0.330566, 1.542428, 2.379468, -0.318578, -0.308610, 0.345832, -3.055029
0.172034, 0.319930, 1.532741, 2.371684, -0.323647, -0.310016, 0.354774, -3.053685
0.173220, 0.309333, 1.523091, 2.363926, -0.328723, -0.311457, 0.363979, -3.052337
0.174407, 0.298774, 1.513475, 2.356196, -0.333802, -0.312933, 0.373452, -3.050985
0.175593, 0.288253, 1.503892, 2.348490, -0.338885, -0.314444, 0.383200, -3.049627
0.176780, 0.277768, 1.494341, 2.340810, -0.343968, -0.315991, 0.393230, -3.048262
0.177966, 0.267317, 1.484818, 2.333153, -0.349050, -0.317575, 0.403548, -3.046888
0.179152, 0.256901, 1.475325, 2.325519, -0.354129, -0.319197, 0.414159, -3.045503
0.180339, 0.246518, 1.465858, 2.317905, -0.359203, -0.320855, 0.425069, -3.044106
0.181525, 0.236169, 1.456417, 2.310311, -0.364272, -0.322551, 0.436285, -3.042694
0.182712, 0.225853, 1.447001, 2.302734, -0.369335, -0.324283, 0.447812, -3.041266
0.183898, 0.215570, 1.437610, 2.295174, 2.767202, -0.326051, 0.459658, -3.039819
0.185085, 0.205320, 1.428242, 2.287628, 2.762155, -0.327854, 0.471827, -3.038352
0.186271, 0.195105, 1.418899, 2.280096, 2.757115, -0.329691, 0.484328, -3.036862
0.187458, 0.184924, 1.409579, 2.272576, 2.752084, -0.331560, 0.497167, -3.035348
0.188644, 0.174779, 1.400284, 2.265066, 2.747061, -0.333459, 0.510353, -3.033808
0.189830, 0.164669, 1.391012, 2.257567, 2.742045, -0.335387, 0.523892, -3.032243
0.191017, 0.154597, 1.381766, 2.250076, 2.737036, -0.337342, 0.537793, -3.030649
0.192203, 0.144562, 1.372545, 2.242594, 2.732033, -0.339322, 0.552065, 0.112565
0.193390, 0.134566, 1.363351, 2.235119, 2.727034, -0.341324, 0.566717, 0.114215
0.194576, 0.124610, 1.354184, 2.227652, 2.722040, -0.343347, 0.581757, 0.115893
0.195763, 0.114695, 1.345046, 2.220192, 2.717047, -0.345388, 0.597194, 0.117600
0.196949, 0.104821, 1.335937, 2.212740, 2.712056, -0.347445, 0.613039, 0.119334
0.198135, 0.094989, 1.326858, 2.205295, 2.707065, -0.349517, 0.629298, 0.121096
0.199322, 0.085200, 1.317811, 2.197859, 2.702073, -0.351601, 0.645981, 0.122883
0.200508, 0.075455, 1.308797, 2.190432, 2.697077, -0.353696, 0.663095, 0.124695
0.201695, 0.065754, 1.299816, 2.183014, 2.692077, -0.355800, 0.680647, 0.126531
0.202881, -3.085496, 1.290869, 2.175608, 2.687072, -0.357913, 0.698643, 0.128389
0.204068, -3.095110, 1.281958, 2.168214, 2.682061, 2.781560, 0.717087, 0.130268
0.205254, -3.104679, 1.273083, 2.160832, 2.677043, 2.779434, 0.735982, 0.132166
0.206441, -3.114204, 1.264245, 2.153465, 2.672016, 2.777302, 0.755330, 0.134081
0.207627, -3.123686, 1.255443, 2.146114, 2.666982, 2.775165, -2.366465, 0.136012
0.208813, -3.133125, -1.894914, 2.138780, 2.661938, 2.773022, -2.346218, 0.137957
0.210000, 3.140663, -1.903641, 2.131464, 2.656886, 2.770873, -2.325530, 0.139917
0.211186, 3.131307, -1.912331, 2.124167, 2.651825, 2.768718, -2.304406, 0.141888
0.212373, 3.121991, -1.920985, 2.116891, 2.646756, 2.766555, -2.282859, 0.143871
0.213559, 3.112714, -1.929602, 2.109637, 2.641679, 2.764386, -2.260901, 0.145865
0.214746, 3.103475, -1.938183, 2.102405, 2.636594, 2.762207, -2.238550, 0.147869
0.215932, 3.094272, -1.946729, 2.095197, 2.631503, 2.760019, -2.215822, 0.149883
0.217119, 3.085104, -1.955242, 2.088013, 2.626406, 2.757819, -2.192742, 0.151908
0.218305, 3.075970, -1.963721, -1.060739, 2.621305, 2.755607, -2.169331, 0.153944
0.219491, 3.066867, -1.972169, -1.067874, 2.616201, 2.753382, -2.145618, 0.155991
0.220678, 3.057795, -1.980586, -1.074983, 2.611096, 2.751142, -2.121630, 0.158050
0.221864, 3.048752, -1.988973, -1.082068, 2.605990, 2.748886, -2.097398, 0.160123
0.223051, 3.039737, -1.997333, -1.089127, 2.600885, 2.746613, -2.072955, 0.162211
0.224237, 3.030748, -2.005666, -1.096162, 2.595783, 2.744321, -2.048333, 0.164315
0.225424, 3.021784, -2.013975, -1.103173, 2.590685, 2.742010, -2.023568, 0.166437
0.226610, 3.012844, -2.022259, -1.110160, 2.585592, 2.739679, -1.998695, 0.168579
0.227796, 3.003927, -2.030521, -1.117125, 2.580506, 2.737328, -1.973750, 0.170742
0.228983, 2.995032, -2.038762, -1.124068, 2.575428, 2.734956, -1.948767, 0.172930
0.230169, 2.986158, -2.046984, -1.130991, 2.570359, 2.732562, -1.923783, 0.175142
0.231356, 2.977305, -2.055187, -1.137894, 2.565301, 2.730147, -1.898832, 0.177383
0.232542, 2.968471, -2.063372, -1.144780, 2.560253, 2.727711, -1.873948, 0.179652
0.233729, 2.959658, -2.071540, -1.151648, -0.586376, 2.725255, -1.849164, 0.181953
0.234915, 2.950863, -2.079692, -1.158501, -0.591400, 2.722778, -1.824513, 0.184286
0.236102, 2.942089, -2.087829, -1.165339, -0.596411, 2.720282, -1.800024, 0.186653
0.237288, 2.933334, -2.095951, -1.172165, -0.601410, 2.717768, -1.775726, 0.189056
0.238474, 2.924599, -2.104058, -1.178979, -0.606396, 2.715236, -1.751648, -2.950097
0.239661, 2.915885, -2.112151, -1.185782, -0.611370, 2.712688, -1.727814, -2.947620
0.240847, 2.907191, -2.120229, -1.192576, -0.616332, 2.710125, -1.704250, -2.945106
0.242034, 2.898519, -2.128293, -1.199361, -0.621282, 2.707549, -1.680977, -2.942553
0.243220, 2.889869, -2.136342, -1.206138, -0.626222, 2.704961, -1.658018, -2.939961
0.244407, 2.881242, -2.144376, -1.212909, -0.631151, 2.702362, -1.635391, -2.937331
0.245593, 2.872639, -2.152393, -1.219674, -0.636071, 2.699755, 1.528478, -2.934663
0.246780, 2.864061, -2.160395, -1.226432, -0.640984, 2.697141, 1.550389, -2.931958
0.247966, 2.855508, -2.168378, -1.233186, -0.645889, 2.694520, 1.571917, -2.929215
0.249152, 2.846982, -2.176344, -1.239934, -0.650788, 2.691896, 1.593052, -2.926436
0.250339, 2.838484, -2.184291, -1.246677, -0.655683, 2.689268, 1.613780, -2.923623
0.251525, 2.830013, -2.192218, -1.253415, -0.660575, 2.686639, 1.634091, -2.920775
0.252712, 2.821572, -2.200124, -1.260147, -0.665465, 2.684009, 1.653977, -2.917895
0.253898, 2.813162, -2.208008, -1.266872, -0.670353, -0.460213, 1.673430, -2.914983
0.255085, 2.804781, -2.215870, -1.273592, -0.675242, -0.462841, 1.692444, -2.912042
0.256271, 2.796432, -2.223707, -1.280304, -0.680132, -0.465468, 1.711014, -2.909071
0.257457, -0.353478, -2.231520, -1.287008, -0.685025, -0.468093, 1.729138, -2.906072
0.258644, -0.361763, -2.239307, -1.293703, -0.689920, -0.470714, 1.746813, -2.903047
0.259830, -0.370015, -2.247068, -1.300388, -0.694819, -0.473334, 1.764038, -2.899996
0.261017, -0.378236, -2.254801, -1.307062, -0.699723, -0.475951, 1.780814, -2.896921
0.262203, -0.386423, 0.879085, -1.313724, -0.704632, -0.478565, 1.797143, -2.893821
0.263390, -0.394578, 0.871407, -1.320373, -0.709545, -0.481178, 1.813027, -2.890698
0.264576, -0.402701, 0.863758, -1.327008, -0.714464, -0.483790, 1.828472, -2.887551
0.265763, -0.410792, 0.856137, -1.333628, -0.719389, -0.486401, 1.843481, -2.884381
0.266949, -0.418852, 0.848545, -1.340232, -0.724319, -0.489012, 1.858061, -2.881187
0.268135, -0.426881, 0.840982, -1.346818, -0.729253, -0.491625, 1.872220, -2.877969
0.269322, -0.434881, 0.833448, -1.353385, -0.734192, -0.494241, 1.885964, -2.874727
0.270508, -0.442851, 0.825941, -1.359934, -0.739135, -0.496860, 1.899302, -2.871460
0.271695, -0.450793, 0.818463, -1.366463, -0.744081, -0.499483, 1.912244, -2.868165
0.272881, -0.458709, 0.811012, 1.768621, -0.749030, -0.502113, 1.924798, -2.864843
0.274068, -0.466598, 0.803588, 1.762134, -0.753979, -0.504750, 1.936977, -2.861492
0.275254, -0.474462, 0.796190, 1.755669, -0.758929, -0.507395, 1.948788, -2.858110
0.276441, -0.482303, 0.788817, 1.749225, -0.763879, -0.510050, 1.960245, -2.854695
0.277627, -0.490121, 0.781467, 1.742804, -0.768826, -0.512715, 1.971357, -2.851246
0.278813, -0.497919, 0.774141, 1.736404, -0.773770, -0.515392, 1.982135, -2.847760
0.280000, -0.505696, 0.766837, 1.730027, -0.778710, -0.518081, 1.992592, -2.844235
0.281186, -0.513454, 0.759553, 1.723671, -0.783644, -0.520784, 2.002736, -2.840670
0.282373, -0.521195, 0.752289, 1.717337, -0.788571, -0.523500, 2.012581, -2.837062
0.283559, -0.528919, 0.745044, 1.711023, -0.793491, -0.526232, 2.022135, -2.833409
0.284746, -0.536628, 0.737815, 1.704730, -0.798402, -0.528978, 2.031409, -2.829709
0.285932, -0.544322, 0.730603, 1.698457, -0.803302, -0.531739, 2.040414, -2.825961
0.287118, -0.552003, 0.723405, 1.692202, -0.808192, -0.534515, 2.049159, -2.822163
0.288305, -0.559671, 0.716222, 1.685965, 2.328523, -0.537306, -1.083939, 0.323279
0.289491, -0.567326, 0.709051, 1.679744, 2.323658, -0.540112, -1.075687, 0.327183
0.290678, -0.574970, 0.701891, 1.673540, 2.318806, -0.542932, -1.067668, 0.331140
0.291864, -0.582602, 0.694743, 1.667349, 2.313968, -0.545766, -1.059875, 0.335153
0.293051, -0.590224, 0.687604, 1.661173, 2.309144, -0.548613, -1.052301, 0.339222
0.294237, -0.597834, 0.680475, 1.655008, 2.304334, -0.551472, -1.044938, 0.343348
0.295424, -0.605434, 0.673355, 1.648855, 2.299538, -0.554342, -1.037780, 0.347531
0.296610, -0.613024, 0.666243, 1.642712, 2.294756, -0.557223, -1.030821, 0.351771
