y00,y01,y02,y03,y04,y05,y06,y10,y11,y12,y13,y14,y15,y16,y20,y21,y22,y23,y24,y25,y26,y30,y31,y32,y33,y34,y35,y36
0.060041991,0.073457682,0.082040544,0.088519309,0.093788633,0.098261245,0.102164220,0.001960965,0.003098573,0.004096403,0.005013837,0.005875480,0.006694787,0.007480205,0.000049609,0.000092767,0.000139087,0.000188239,0.000239849,0.000293619,0.000349317,0.000001061,0.000002249,0.000003729,0.000005486,0.000007510,0.000009788,0.000012312
0.061540548,0.075287004,0.084079057,0.090713892,0.096108644,0.100686430,0.104680051,0.002060155,0.003255201,0.004303330,0.005266936,0.006171874,0.007032284,0.007857041,0.000053421,0.000099894,0.000149769,0.000202691,0.000258257,0.000316146,0.000376109,0.000001171,0.000002483,0.000004115,0.000006055,0.000008289,0.000010803,0.000013588
0.063038921,0.077115800,0.086116645,0.092907114,0.098426829,0.103109300,0.107193056,0.002161786,0.003415672,0.004515321,0.005526212,0.006475483,0.007377973,0.008242998,0.000057424,0.000107376,0.000160983,0.000217862,0.000277580,0.000339794,0.000404231,0.000001289,0.000002734,0.000004531,0.000006668,0.000009126,0.000011895,0.000014961
0.064537105,0.078944056,0.088153286,0.095098942,0.100743143,0.105529799,0.109703167,0.002265857,0.003579985,0.004732372,0.005791660,0.006786297,0.007731842,0.008638062,0.000061621,0.000115222,0.000172742,0.000233770,0.000297842,0.000364587,0.000433716,0.000001416,0.000003003,0.000004978,0.000007325,0.000010026,0.000013067,0.000016435
0.066035095,0.080771760,0.090188958,0.097289344,0.103057544,0.107947870,0.112210316,0.002372368,0.003748139,0.004954481,0.006063274,0.007104309,0.008093881,0.009042218,0.000066018,0.000123441,0.000185059,0.000250432,0.000319063,0.000390554,0.000464595,0.000001553,0.000003292,0.000005457,0.000008030,0.000010990,0.000014323,0.000018015
0.067532887,0.082598898,0.092223638,0.099478287,0.105369987,0.110363459,0.114714435,0.002481318,0.003920130,0.005181644,0.006341049,0.007429511,0.008464079,0.009455454,0.000070620,0.000132041,0.000197946,0.000267865,0.000341265,0.000417721,0.000496899,0.000001699,0.000003602,0.000005970,0.000008784,0.000012022,0.000015668,0.000019707
0.069030477,0.084425458,0.094257303,0.101665738,0.107680429,0.112776510,0.117215458,0.002592706,0.004095959,0.005413857,0.006624978,0.007761895,0.008842425,0.009877754,0.000075429,0.000141030,0.000211417,0.000286087,0.000364471,0.000446114,0.000530660,0.000001855,0.000003932,0.000006518,0.000009590,0.000013126,0.000017106,0.000021514
0.070527860,0.086251428,0.096289932,0.103851664,0.109988824,0.115186967,0.119713315,0.002706532,0.004275621,0.005651116,0.006915057,0.008101453,0.009228907,0.010309104,0.000080453,0.000150418,0.000225485,0.000305115,0.000388702,0.000475760,0.000565910,0.000002021,0.000004285,0.000007103,0.000010450,0.000014303,0.000018639,0.000023443
0.072025032,0.088076794,0.098321502,0.106036032,0.112295130,0.117594776,0.122207941,0.002822794,0.004459117,0.005893419,0.007211279,0.008448175,0.009623515,0.010749488,0.000085694,0.000160213,0.000240162,0.000324966,0.000413979,0.000506685,0.000602679,0.000002199,0.000004662,0.000007727,0.000011367,0.000015557,0.000020274,0.000025498
0.073521987,0.089901544,0.100351990,0.108218811,0.114599303,0.119999880,0.124699268,0.002941493,0.004646443,0.006140761,0.007513638,0.008802053,0.010026236,0.011198892,0.000091158,0.000170424,0.000255460,0.000345657,0.000440326,0.000538916,0.000640999,0.000002388,0.000005062,0.000008390,0.000012343,0.000016893,0.000022014,0.000027685
0.075018722,0.091725664,0.102381375,0.110399966,0.116901298,0.122402224,0.127187228,0.003062628,0.004837597,0.006393138,0.007822129,0.009163079,0.010437058,0.011657300,0.000096849,0.000181058,0.000271393,0.000367205,0.000467762,0.000572480,0.000680900,0.000002588,0.000005488,0.000009095,0.000013381,0.000018312,0.000023863,0.000030010
0.076515233,0.093549143,0.104409634,0.112579465,0.119201073,0.124801753,0.129671754,0.003186197,0.005032578,0.006650547,0.008136744,0.009531242,0.010855968,0.012124695,0.000102771,0.000192125,0.000287973,0.000389628,0.000496311,0.000607402,0.000722415,0.000002802,0.000005940,0.000009844,0.000014482,0.000019819,0.000025825,0.000032477
0.078011514,0.095371967,0.106436745,0.114757276,0.121498583,0.127198412,0.132152779,0.003312200,0.005231384,0.006912983,0.008457477,0.009906534,0.011282955,0.012601062,0.000108931,0.000203633,0.000305213,0.000412942,0.000525992,0.000643708,0.000765574,0.000003028,0.000006419,0.000010638,0.000015650,0.000021416,0.000027907,0.000035094
0.079507561,0.097194124,0.108462685,0.116933367,0.123793785,0.129592146,0.134630237,0.003440637,0.005434012,0.007180442,0.008784322,0.010288946,0.011718005,0.013086384,0.000115331,0.000215591,0.000323126,0.000437164,0.000556829,0.000681426,0.000810408,0.000003267,0.000006927,0.000011479,0.000016887,0.000023108,0.000030111,0.000037865
0.081003370,0.099015600,0.110487433,0.119107703,0.126086635,0.131982899,0.137104060,0.003571506,0.005640460,0.007452921,0.009117272,0.010678467,0.012161105,0.013580644,0.000121976,0.000228006,0.000341725,0.000462312,0.000588843,0.000720581,0.000856948,0.000003521,0.000007464,0.000012369,0.000018195,0.000024899,0.000032443,0.000040797
0.082498936,0.100836384,0.112510965,0.121280253,0.128377091,0.134370618,0.139574182,0.003704807,0.005850726,0.007730414,0.009456321,0.011075088,0.012612242,0.014083825,0.000128872,0.000240889,0.000361021,0.000488402,0.000622054,0.000761199,0.000905224,0.000003789,0.000008032,0.000013310,0.000019578,0.000026791,0.000034908,0.000043895
0.083994255,0.102656463,0.114533260,0.123450985,0.130665107,0.136755246,0.142040535,0.003840538,0.006064807,0.008012918,0.009801461,0.011478799,0.013071403,0.014595908,0.000136022,0.000254246,0.000381028,0.000515452,0.000656485,0.000803306,0.000955268,0.000004072,0.000008631,0.000014303,0.000021039,0.000028789,0.000037510,0.000047166
0.085489322,0.104475823,0.116554296,0.125619864,0.132950641,0.139136729,0.144503054,0.003978700,0.006282702,0.008300428,0.010152685,0.011889589,0.013538573,0.015116878,0.000143432,0.000268088,0.000401758,0.000543478,0.000692157,0.000846928,0.001007110,0.000004370,0.000009264,0.000015351,0.000022579,0.000030896,0.000040254,0.000050616
0.086984133,0.106294452,0.118574050,0.127786861,0.135233649,0.141515013,0.146961672,0.004119291,0.006504407,0.008592940,0.010509986,0.012307449,0.014013739,0.015646714,0.000151106,0.000282421,0.000423224,0.000572497,0.000729092,0.000892092,0.001060780,0.000004685,0.000009930,0.000016455,0.000024203,0.000033116,0.000043146,0.000054251
0.088478683,0.108112337,0.120592500,0.129951940,0.137514089,0.143890042,0.149416323,0.004262311,0.006729922,0.008890448,0.010873358,0.012732367,0.014496886,0.016185399,0.000159048,0.000297255,0.000445439,0.000602527,0.000767309,0.000938823,0.001116310,0.000005016,0.000010632,0.000017618,0.000025912,0.000035454,0.000046191,0.000058077
0.089972968,0.109929466,0.122609624,0.132115071,0.139791916,0.146261763,0.151866939,0.004407758,0.006959242,0.009192949,0.011242791,0.013164333,0.014988000,0.016732914,0.000167263,0.000312598,0.000468414,0.000633583,0.000806832,0.000987146,0.001173729,0.000005364,0.000011370,0.000018841,0.000027710,0.000037914,0.000049394,0.000062103
